,shhh.. Just listEn :)_A Rocket to the Moon
1859,automobile
1860,funeral
1861,procession
1862,threading
1863,way
1864,toward
1865,nearby
1866,cemetery
1867,head
1868,lights
1869,recognize
1870,jane's
1871,car
1872,line
1873,reverse
1874,barbara
1875,adam
1876,somber
1877,faces
1878,tighter
1879,procession
1880,arrives
1881,gravesite
1882,see
1883,familiar
1884,faces
1885,ernie
1886,old
1887,bill
1888,barber
1889,jane
1890,little
1891,jane
1892,watch
1893,two
1894,identical
1895,coffins
1896,carried
1897,gether
1898,two
1899,open
1900,graves
1901,barbara
1902,adam
1903,drops
1904,head
1905,sadly
1906,shoulder
1907,leans
1908,face
1909,slightly
1910,fade
1911,fade
1912,int
1913,attic
1914,day
1915,adam
1916,setting
1917,small
1918,monument
1919,model
1920,town
1921,cemetery
1922,reads
1923,adam
1924,barbara
1925,maitlandunited
1926,lifeundivided
1927,death
1928,adam
1929,wish
1930,better
1931,view
1932,cemetery
1933,know
1934,area
1935,best
1936,placement
1937,us
1938,barbara
1939,trying
1940,clean
1941,lets
1942,frustrated
1943,yelp
1944,paces
1945,adam
1946,continuing
1947,cabin
1948,fever
1949,han
1950,barbara
1951,can't
1952,clean
1953,anything
1954,vacuum
1955,garage
1956,can't
1957,leave
1958,house
1959,tell
1960,us
1961,something
1962,dead
1963,people
1964,world
1965,adam
1966,maybe
1967,heaven
1968,barbara
1969,looking
1970,dusty
1971,walls
1972,heaven
1973,dust
1974,wallpaper
1975,adam
1976,hon
1977,want
1978,die
1979,really
1980,fine
1981,look
1982,never
1983,wash
1984,dishes
1985,barbara
1986,dishes
1987,eaten
1988,three
1989,weeks
1990,adam
1991,i'm
1992,like
1993,really
1994,need
1995,around
1996,people
1997,get
1998,church
1999,go
2000,grocery
2001,shopping
2002,adam
2003,i'm
2004,hungry
2005,barbara
2006,shakes
2007,head
2008,picks
2009,handbook
2010,pages
2011,desperately
2012,barbara
2013,keep
2014,feeling
2015,something
2016,got
2017,happen
2018,car
2019,door
2020,slams
2021,outside
2022,adam
2023,barbara
2024,look
2025,one
2026,another
2027,run
2028,window
2029,ext
2030,maitland
2031,house
2032,day
2033,jane
2034,butterfield
2035,staring
2036,old
2037,house
2038,int
2039,attic
2040,day
2041,adam
2042,angle
2043,barely
2044,see
2045,adam
2046,god
2047,jane
2048,barbara
2049,what's
2050,adam
2051,know
2052,shouting
2053,jane
2054,jane
2055,ext
2056,maitland
2057,house
2058,day
2059,unhearing
2060,jane
2061,heads
2062,car
2063,sound
2064,wind
2065,blows
2066,dress
2067,little
2068,jane
2069,straggles
2070,along
2071,like
2072,apprentice
2073,int
2074,attic
2075,day
2076,barbara
2077,watches
2078,adam
2079,shakes
2080,head
2081,stops
2082,barbara
2083,can't
2084,see
2085,right
2086,adam
2087,nods
2088,barbara
2089,continuing
2090,book
2091,rule
2092,number
2093,two
2094,living
2095,usually
2096,see
2097,dead
2098,adam
2099,can't
2100,barbara
2101,says
2102,wait
2103,minute
2104,says
2105,living
2106,arrogant
2107,think
2108,they'll
2109,never
2110,die
2111,refuse
2112,see
2113,dead
2114,adam
2115,arrogant
2116,that's
2117,jane
2118,right
2119,barbara
2120,sighs
2121,nods
2122,barbara
2123,least
2124,worry
2125,adam
2126,smiles
2127,goes
2128,model
2129,ext
2130,maitland
2131,house
2132,day
2133,jane
2134,drives
2135,away
2136,camera
2137,hinges
2138,see
2139,sale
2140,sign
2141,across
2142,another
2143,smaller
2144,banner
2145,reads
2146,sold
2147,cut
2148,int
2149,master
2150,bedroom
2151,morning
2152,maitlands
2153,asleep
2154,camera
2155,explores
2156,room
2157,bit
2158,getting
2159,slightly
2160,tatty
2161,adam
2162,rolls
2163,pulling
2164,covers
2165,barbara
2166,see
2167,barbara
2168,hovering
2169,side
2170,bed
2171,ominous
