,Song Name,Artist,Words count,Year,Bin
1080,Your Eyes,Bombay Bicycle Club,145,2012,2010s
1081,Abracadabra,Jessie J,277,2011,2010s
1082,Satellite,Elliott Smith,46,1995,90s
1083,Heartbeat,The Fray,196,2011,2010s
1084,I Don't Believe in the Sun,The Magnetic Fields,82,1999,90s
1085,All Along,Kid Cudi,125,2010,2010s
1086,Have You Ever Really Loved a Woman?,Bryan Adams,239,1995,90s
1087,Hospital Beds,Florence + the Machine,102,2011,2010s
1088,A House Is Not a Motel,Love,103,1967,60s
1089,Let It Out,Ed Sheeran,207,2010,2010s
1090,My Oh My,David Gray,244,1998,90s
1091,Love Sosa,Chief Keef,422,2012,2010s
1092,Blue Ocean Floor,Justin Timberlake,203,2013,2010s
1093,Jealous,Beyoncé,237,2013,2010s
1094,I Think I Need A New Heart,The Magnetic Fields,129,1999,90s
1095,The Girl From Ipanema,Amy Winehouse,120,2011,2010s
1096,We Might Be Dead by Tomorrow,SoKo,96,2012,2010s
1097,True Affection,Father John Misty,89,2015,2010s
1098,Heaven Help,Lenny Kravitz,182,1993,90s
1099,The Luckiest Guy on the Lower East Side,The Magnetic Fields,144,1999,90s
1100,Sixteen,Iggy Pop,100,1977,70s
1101,The White Lady Loves You More,Elliott Smith,85,1995,90s
1102,Nothing Even Matters,Lauryn Hill,214,1998,90s
1103,Joy,Ellie Goulding,123,2012,2010s
1104,Let You Down,Dave Matthews Band,146,1996,90s
1105,Hard to Say I'm Sorry,Chicago,131,1983,80s
1106,Haunted,Taylor Swift,233,2010,2010s
1107,Breakthrough,Modest Mouse,136,1996,90s
1108,Saturday Night,Misfits,151,1999,90s
1109,You Wanted More,Tonic,109,1999,90s
